Country Name,Country Code,Series Name,Series Code,1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.492,69.835,70.363,70.823,71.227,71.601,71.952,72.288,72.675,73.034,73.385,73.727,74.085,74.404,74.789,74.833,75.317,75.668,75.889,76.2,76.452,76.714,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953
China,CHN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,50.8,49.3,47.5,45.6,43.6,41.4,39.1,36.7,34.2,31.5,28.9,26.4,24,21.9,20.1,18.5,17.1,15.8,14.6,13.5,12.5,11.5,10.7,9.9,9.2,8.6,8,7.5,7,6.6,6.2
China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,13.469,8.754,8.652,7.318,6.427,4.673,6.163,6.444,6.104,6.122,6.459,5.638,6.645,8.5,9.141,11.026,11.994,12.158,11.801,12.534,11.976,12.049,10.887,10.747,10.236,8.691,8.277,6.737,5.996,5.463,5.227
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.3036585365854,79.6968292682927,79.5360975609756,80.219756097561,80.4241463414634,80.5014634146342,80.4609756097561,81.0760975609756,81.4163414634146,81.6907317073171,81.76,82.030243902439,81.9551219512195,82.3219512195122,82.5070731707317,82.5875609756098,82.9314634146342,82.8426829268293,82.5912195121951,83.0960975609756,83.3319512195122,83.5878048780488,83.7939024390244,83.9848780487805,84.099756097561,84.2109756097561,84.3563414634146,84.56,84.4456097560976,83.9963414634146,84.0412195121951
Japan,JPN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6,5.9,5.7,5.5,5.2,5,4.7,4.5,4.3,4.1,4,3.9,3.7,3.6,3.5,3.4,3.4,3.3,3.3,3.1,3,2.9,2.8,2.7,2.6,2.5,2.5,2.4,2.4,2.4,2.4
Japan,JPN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,4.101,4.146,4.049,4.12,4.459,4.802,5.08,5.532,5.972,6.225,5.982,5.775,5.367,5.246,5.145,5.168,4.914,4.603,4.477,4.332,4.361,4.325,4.04,3.75,3.404,3.076,2.772,2.503,2.088,1.821,1.737
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.823,60.237,60.63,61.027,61.439,61.852,62.284,62.749,63.158,63.649,64.086,64.484,64.939,65.373,65.803,66.247,66.7,67.162,67.623,68.076,68.499,68.932,69.326,69.709,70.068,70.415,70.746,70.156,67.282,71.698,72.003
India,IND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,116.1,112.8,109.5,106,102.5,98.9,95.3,91.6,88,84.5,81.1,77.7,74.4,71.1,67.9,64.6,61.4,58.2,55,52,49.1,46.3,43.6,41.1,38.7,36.4,34.3,32.4,30.6,29.1,27.7
India,IND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,135.353,136.001,134.75,126.782,122.581,122.611,116.902,114.352,112.043,105.119,97.366,83.5,64.678,55.76,51.987,54.289,46.696,41.719,40.795,39.533,35.326,28.806,18.194,14.535,15.166,15.133,14.796,14.423,14.289,14.185,14.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
